[0719/005828:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected identifier", source: http://sp.analytics.yahoo.com/sp.pl?a=10001942155268&jsonp=YAHOO.ywa.I13N.handleJSONResponse&d=Tue%2C%2018%20Jul%202017%2023%3A58%3A28%20GMT&n=-1&b=Altium%20Documentation%20%7C%20Online%20Documentation%20for%20Altium%20Products&.yp=429165&f=http%3A%2F%2Fwww.altium.com%2Fdocumentation%2F&enc=UTF-8 (1)
[0719/005834:INFO:CONSOLE(24)] "Facebook Pixel Warning: Multiple pixels with conflicting versions were detected on this page", source: http://connect.facebook.net/en_US/fbevents.js (24)
[0721/175744:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected identifier", source: http://sp.analytics.yahoo.com/sp.pl?a=10001942155268&jsonp=YAHOO.ywa.I13N.handleJSONResponse&d=Fri%2C%2021%20Jul%202017%2016%3A57%3A43%20GMT&n=-1&b=Altium%20Documentation%20%7C%20Online%20Documentation%20for%20Altium%20Products&.yp=429165&f=http%3A%2F%2Fwww.altium.com%2Fdocumentation%2F&enc=UTF-8 (1)
[0721/175918:INFO:CONSOLE(24)] "Facebook Pixel Warning: Multiple pixels with conflicting versions were detected on this page", source: http://connect.facebook.net/en_US/fbevents.js (24)
[0722/035428:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected identifier", source: http://sp.analytics.yahoo.com/sp.pl?a=10001942155268&jsonp=YAHOO.ywa.I13N.handleJSONResponse&d=Sat%2C%2022%20Jul%202017%2002%3A54%3A28%20GMT&n=-1&b=Altium%20Documentation%20%7C%20Online%20Documentation%20for%20Altium%20Products&.yp=429165&f=http%3A%2F%2Fwww.altium.com%2Fdocumentation%2F&enc=UTF-8 (1)
[0722/035432:INFO:CONSOLE(24)] "Facebook Pixel Warning: Multiple pixels with conflicting versions were detected on this page", source: http://connect.facebook.net/en_US/fbevents.js (24)
[0722/035446:INFO:CONSOLE(0)] "Synchronous XMLHttpRequest on the main thread is deprecated because of its detrimental effects to the end user's experience. For more help, check https://xhr.spec.whatwg.org/.", source:  (0)
[0722/035448:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected identifier", source: http://sp.analytics.yahoo.com/sp.pl?a=10001942155268&jsonp=YAHOO.ywa.I13N.handleJSONResponse&d=Sat%2C%2022%20Jul%202017%2002%3A54%3A48%20GMT&n=-1&b=Release%20Notes%20for%20Altium%20Vault%20%7C%20Online%20Documentation%20for%20Altium%20Products&.yp=429165&f=http%3A%2F%2Fwww.altium.com%2Fdocumentation%2F3.0%2Fdisplay%2FVAULT%2FRelease%2BNotes%2Bfor%2BAltium%2BVault&e=http%3A%2F%2Fgs.altium.com%2Fsearch%2Fsite%2Fciiva%3Ff%5B0%5D%3Dim_field_category%253A2&enc=UTF-8 (1)
[0722/035449:INFO:CONSOLE(24)] "Facebook Pixel Warning: Multiple pixels with conflicting versions were detected on this page", source: https://connect.facebook.net/en_US/fbevents.js (24)
[0722/040443:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected identifier", source: http://sp.analytics.yahoo.com/sp.pl?a=10001942155268&jsonp=YAHOO.ywa.I13N.handleJSONResponse&d=Sat%2C%2022%20Jul%202017%2003%3A04%3A40%20GMT&n=-1&b=Altium%20Documentation%20%7C%20Online%20Documentation%20for%20Altium%20Products&.yp=429165&f=http%3A%2F%2Fwww.altium.com%2Fdocumentation%2F&enc=UTF-8 (1)
[0722/040444:INFO:CONSOLE(24)] "Facebook Pixel Warning: Multiple pixels with conflicting versions were detected on this page", source: https://connect.facebook.net/en_US/fbevents.js (24)
